id;nom;metier;ville;sud_est;taille;groupe;derniere_commande;jours_depuis_derniere_commande;panier_moyen_eur;commandes_12_mois;clients_finaux;a_achete_tshirts_ete_2025;clientele_exposee;opposition_prospection;dans_la_cible
R0023;Atelier Solstice;sérigraphe;Marseille;oui;moyen;dormant;2025-12-10;173;464;57;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0024;Studio Pastel;sérigraphe;Valence;oui;petit;actif;2026-05-24;8;200;53;"brasseries et bars ; associations";oui;oui;non;non
R0025;Imprim'Origami;sérigraphe;Lyon;oui;grand;actif;2026-05-28;4;1020;121;"clubs sportifs ; associations";oui;oui;non;oui
R0026;Brod'Tramontane Perpignan;brodeur;Perpignan;non;petit;dormant;2025-12-30;153;329;28;"clubs sportifs ; festivals";oui;oui;non;non
R0027;Point Trait d'Union;brodeur;Poitiers;non;moyen;actif;2026-05-29;3;507;89;"festivals ; brasseries et bars";oui;oui;non;non
R0028;Studio Atlantique;agence;Caen;non;grand;actif;2026-05-30;2;1045;127;"entreprises ; clubs sportifs";oui;oui;non;oui
R0029;Agence Mistral;agence;Niort;non;petit;dormant;2025-12-13;170;262;25;"clubs sportifs ; associations";oui;oui;non;non
R0030;Sérigraphie Rhône;sérigraphe;Bordeaux;non;moyen;actif;2026-05-31;1;712;79;"festivals ; collectivités";oui;oui;non;non
R0031;Sérigraphie Kaolin;sérigraphe;Genève;oui;petit;actif;2026-05-26;6;286;47;"associations ; clubs sportifs";oui;oui;non;non
R0032;Brod'Amarante;brodeur;Amiens;non;petit;actif;2026-05-31;1;255;40;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0033;Point Estuaire Saint-Étienne;brodeur;Saint-Étienne;oui;petit;actif;2026-05-27;5;220;39;"collectivités ; brasseries et bars";non;oui;non;non
R0034;Broderie Lumière;brodeur;Dijon;non;petit;dormant;2025-09-06;268;216;14;"entreprises ; festivals";oui;oui;non;non
R0035;Atelier Pastel Orléans;agence;Orléans;non;moyen;dormant;2026-02-01;120;732;77;"brasseries et bars ; festivals";oui;oui;non;non
R0036;Studio Éclat Vannes;sérigraphe;Vannes;non;petit;actif;2026-05-30;2;202;46;"clubs sportifs ; festivals";oui;oui;non;non
R0037;Textiprint Rhône;imprimeur;Reims;non;petit;dormant;2026-01-06;146;332;25;"brasseries et bars ; entreprises";oui;oui;non;non
R0038;Imprim'Quai Besançon;sérigraphe;Besançon;non;moyen;actif;2026-05-29;3;871;101;"associations ; entreprises";oui;non;non;non
R0039;Séri'Alizé;sérigraphe;Turin;oui;petit;actif;2026-05-30;2;278;39;"festivals ; collectivités";oui;oui;non;non
R0040;Point Zinc;brodeur;Metz;non;moyen;actif;2026-05-23;9;700;93;"entreprises ; festivals";oui;oui;oui;non
R0041;Studio Grand Angle;sérigraphe;Luxembourg;non;moyen;dormant;2025-10-04;240;642;29;"festivals ; clubs sportifs";oui;oui;non;non
R0042;Marquage Ocre;sérigraphe;Chambéry;oui;petit;dormant;2025-09-13;261;268;24;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0043;Studio Bleu Marine;sérigraphe;Perpignan;non;moyen;dormant;2025-08-26;279;788;31;"associations ; clubs sportifs";oui;oui;non;non
R0044;Studio Hélice;sérigraphe;Reims;non;petit;dormant;2025-06-26;340;456;5;"associations ; brasseries et bars";oui;oui;non;non
R0045;Sérigraphie Sud Barcelone;sérigraphe;Barcelone;non;grand;dormant;2026-01-31;121;1676;125;"festivals ; entreprises";oui;oui;non;oui
R0046;Atelier Nacre;sérigraphe;Avignon;oui;petit;actif;2026-05-19;13;250;45;"associations ; festivals";oui;oui;non;non
R0047;Maison Ardoise Amiens;brodeur;Amiens;non;grand;dormant;2025-11-11;202;2190;109;"clubs sportifs ; festivals";oui;oui;non;oui
R0048;Séri'Amarante;sérigraphe;Pau;non;moyen;actif;2026-05-22;10;794;113;"collectivités ; festivals";oui;oui;non;non
R0049;Print Faubourg Lyon;imprimeur;Lyon;oui;petit;actif;2026-05-31;1;358;39;"associations ; entreprises";oui;non;non;non
R0050;Agence Éclat;agence;Nîmes;oui;petit;actif;2026-05-21;11;318;37;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0051;Atelier Calanque Arras;brodeur;Arras;non;petit;dormant;2026-03-05;88;389;32;"festivals ; associations";oui;oui;non;non
R0052;Atelier Estuaire;agence;Bruxelles;non;moyen;actif;2026-05-31;1;706;91;"brasseries et bars ; entreprises";oui;oui;non;non
R0053;Point Indigo;brodeur;Nancy;non;petit;dormant;2026-02-02;119;295;40;"associations ; collectivités";oui;non;non;non
R0054;Marquage Éclat Pau;sérigraphe;Pau;non;petit;actif;2026-05-29;3;186;54;"associations ; festivals";oui;oui;non;non
R0055;Atelier Zénith;sérigraphe;Nîmes;oui;petit;dormant;2025-10-15;229;254;15;"associations ; entreprises";oui;non;non;non
R0056;Marquage Vertigo;sérigraphe;Marseille;oui;grand;actif;2026-05-31;1;1056;228;"clubs sportifs ; entreprises";oui;oui;non;oui
R0057;Séri'Hélice;sérigraphe;Rouen;non;grand;dormant;2025-12-30;153;1595;78;"entreprises ; collectivités";oui;non;non;non
R0058;Atelier Cyan;sérigraphe;Nîmes;oui;moyen;dormant;2026-03-12;81;857;74;"entreprises ; associations";oui;non;non;non
R0059;Imprim'Mistral Dijon;sérigraphe;Dijon;non;petit;dormant;2025-07-16;320;273;5;"festivals ; clubs sportifs";oui;oui;non;non
R0060;Atelier Nord;sérigraphe;Grenoble;oui;petit;actif;2026-05-25;7;327;37;"collectivités ; brasseries et bars";oui;oui;non;non
R0061;Les Fils d'Tramontane;brodeur;Rennes;non;moyen;actif;2026-05-28;4;849;73;"associations ; collectivités";oui;non;non;non
R0062;Atelier du Lac;agence;Bruxelles;non;petit;actif;2026-05-30;2;398;58;"associations ; festivals";oui;oui;non;non
R0063;Sérigraphie Hélice;sérigraphe;Tours;non;petit;actif;2026-05-29;3;181;56;"associations ; festivals";oui;oui;non;non
R0064;Maison Bleu Marine Montpellier;brodeur;Montpellier;oui;petit;dormant;2026-02-09;112;298;43;"brasseries et bars ; festivals";oui;oui;non;non
R0065;Agence Garonne;agence;Dijon;non;petit;actif;2026-05-24;8;235;48;"clubs sportifs ; collectivités";oui;oui;non;non
R0066;Imprim'Hélice;sérigraphe;Annecy;oui;petit;dormant;2025-12-04;179;289;30;"entreprises ; clubs sportifs";oui;oui;non;non
R0067;Sérigraphie Origami;sérigraphe;Niort;non;grand;dormant;2026-03-22;71;1309;139;"clubs sportifs ; associations";oui;oui;non;oui
R0068;Broderie Quai;brodeur;Caen;non;moyen;actif;2026-05-26;6;474;71;"entreprises ; clubs sportifs";oui;oui;non;non
R0069;Marquage Mistral;sérigraphe;Lausanne;oui;moyen;dormant;2025-09-15;259;448;21;"brasseries et bars ; festivals";oui;oui;non;non
R0070;Atelier Lumière;sérigraphe;Tours;non;grand;actif;2026-05-29;3;1757;233;"clubs sportifs ; associations";oui;oui;non;oui
R0071;Studio Vertigo;sérigraphe;Arras;non;petit;dormant;2025-09-05;269;205;15;"entreprises ; brasseries et bars";oui;oui;non;non
R0072;Point Ricochet Lille;brodeur;Lille;non;petit;actif;2026-05-31;1;355;56;"entreprises ; festivals";oui;oui;non;non
R0073;Imprim'Pixel;sérigraphe;Poitiers;non;petit;actif;2026-04-24;38;243;38;"clubs sportifs ; collectivités";oui;oui;non;non
R0074;Atelier Jonquille;agence;Bilbao;non;petit;actif;2026-05-30;2;361;40;"collectivités ; festivals";oui;oui;non;non
R0075;Sérigraphie Ubac;sérigraphe;Strasbourg;non;moyen;actif;2026-05-31;1;451;82;"entreprises ; brasseries et bars";oui;oui;non;non
R0076;Studio Ypréau;agence;Mulhouse;non;petit;actif;2026-05-18;14;263;35;"brasseries et bars ; festivals";oui;oui;non;non
R0077;Studio Calanque Caen;sérigraphe;Caen;non;grand;dormant;2026-02-23;98;2112;150;"festivals ; associations";oui;oui;non;oui
R0078;Sérigraphie Amarante Reims;sérigraphe;Reims;non;moyen;actif;2026-05-31;1;782;111;"associations ; brasseries et bars";oui;oui;non;non
R0079;Broderie Estuaire;brodeur;Pau;non;moyen;dormant;2025-10-22;222;497;31;"entreprises ; associations";oui;non;non;non
R0080;Séri'Ubac Saint-Étienne;sérigraphe;Saint-Étienne;oui;petit;actif;2026-05-25;7;414;37;"associations ; clubs sportifs";oui;oui;non;non
R0081;Atelier Nord Albi;agence;Albi;non;petit;dormant;2025-11-09;204;412;17;"collectivités ; associations";oui;non;oui;non
R0082;Broderie Jonquille;brodeur;La Rochelle;non;petit;actif;2026-05-21;11;167;57;"entreprises ; clubs sportifs";oui;oui;non;non
R0083;Brod'Tandem;brodeur;Béziers;non;petit;actif;2026-05-31;1;235;56;"entreprises ; brasseries et bars";oui;oui;oui;non
R0084;Agence Boréal;agence;Mulhouse;non;petit;actif;2026-05-03;29;214;31;"associations ; entreprises";oui;non;non;non
R0085;Broderie Solstice;brodeur;Poitiers;non;petit;actif;2026-05-26;6;294;60;"collectivités ; festivals";oui;oui;non;non
R0086;Atelier Kaolin Luxembourg;sérigraphe;Luxembourg;non;petit;actif;2026-05-29;3;392;58;"festivals ; entreprises";oui;oui;non;non
R0087;Sérigraphie Vertigo Orléans;sérigraphe;Orléans;non;grand;dormant;2025-07-20;316;1961;10;"collectivités ; clubs sportifs";oui;oui;non;non
R0088;Atelier Tramontane;agence;Clermont-Ferrand;non;grand;actif;2026-05-27;5;1404;131;"brasseries et bars ; clubs sportifs";oui;oui;non;oui
R0089;Point Ardoise Bilbao;brodeur;Bilbao;non;grand;actif;2026-05-25;7;2009;186;"brasseries et bars ; associations";oui;oui;non;oui
R0090;Atelier Ardoise Toulouse;agence;Toulouse;non;moyen;actif;2026-05-30;2;889;101;"collectivités ; associations";oui;non;non;non
R0091;Imprim'Garonne;sérigraphe;Poitiers;non;petit;dormant;2025-09-03;271;183;21;"collectivités ; associations";oui;non;non;non
R0092;Point Granit;brodeur;Poitiers;non;petit;actif;2026-05-29;3;279;33;"collectivités ; brasseries et bars";oui;oui;oui;non
R0093;Marquage Amarante;sérigraphe;Strasbourg;non;moyen;dormant;2025-07-25;311;628;20;"collectivités ; festivals";oui;oui;oui;non
R0094;Sérigraphie Jonquille;sérigraphe;Arras;non;petit;dormant;2025-06-25;341;330;3;"collectivités ; brasseries et bars";non;oui;non;non
R0095;Sérigraphie Trait d'Union;sérigraphe;Le Mans;non;petit;dormant;2025-07-19;317;186;3;"collectivités ; entreprises";non;non;non;non
R0096;Séri'Sud;sérigraphe;Marseille;oui;petit;dormant;2025-07-19;317;212;5;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0097;Maison Calanque;brodeur;Chambéry;oui;petit;dormant;2026-01-23;129;332;31;"collectivités ; entreprises";oui;non;non;non
R0098;Agence Rhône;agence;Turin;oui;moyen;actif;2026-05-31;1;444;97;"brasseries et bars ; entreprises";oui;oui;oui;non
R0099;Imprim'Vauban;sérigraphe;Brest;non;moyen;actif;2026-05-25;7;480;103;"associations ; collectivités";oui;non;non;non
R0100;Sérigraphie Bleu Marine;sérigraphe;Lausanne;oui;petit;dormant;2025-08-22;283;163;12;"clubs sportifs ; entreprises";oui;oui;oui;non
R0101;Atelier Quai;agence;Bordeaux;non;moyen;dormant;2025-07-07;329;568;14;"clubs sportifs ; festivals";oui;oui;non;non
R0102;Marquage Atlantique;sérigraphe;Béziers;non;petit;dormant;2026-03-26;67;410;42;"festivals ; collectivités";oui;oui;non;non
R0103;Atelier Origami;sérigraphe;Grenoble;oui;petit;dormant;2026-02-09;112;234;34;"clubs sportifs ; collectivités";oui;oui;non;non
R0104;Studio Cardinal;agence;Niort;non;grand;dormant;2025-11-16;197;2227;56;"entreprises ; collectivités";oui;non;non;non
R0105;Marquage Grand Angle Namur;sérigraphe;Namur;non;moyen;actif;2026-05-31;1;775;61;"clubs sportifs ; collectivités";oui;oui;non;non
R0106;Les Fils d'Zinc Vannes;brodeur;Vannes;non;moyen;dormant;2025-10-04;240;528;39;"entreprises ; associations";oui;non;non;non
R0107;Marquage Bleu Marine Vannes;sérigraphe;Vannes;non;moyen;dormant;2026-03-25;68;815;81;"collectivités ; clubs sportifs";oui;oui;non;non
R0108;Marquage Lumière;sérigraphe;Toulouse;non;grand;dormant;2025-10-10;234;1302;77;"festivals ; entreprises";oui;oui;non;oui
R0109;Studio Zinc;sérigraphe;Mulhouse;non;petit;dormant;2025-10-20;224;352;16;"collectivités ; clubs sportifs";oui;oui;non;non
R0110;Agence Nacre;agence;Bordeaux;non;petit;actif;2026-05-31;1;296;57;"festivals ; entreprises";oui;oui;non;non
R0111;Imprim'Vermeil;sérigraphe;Clermont-Ferrand;non;petit;dormant;2026-03-02;91;272;45;"entreprises ; festivals";oui;oui;non;non
R0112;Studio Quai Bilbao;sérigraphe;Bilbao;non;petit;actif;2026-05-28;4;181;35;"festivals ; clubs sportifs";non;oui;non;non
R0113;Atelier Vermeil;agence;Marseille;oui;moyen;dormant;2026-02-16;105;696;61;"clubs sportifs ; entreprises";oui;oui;non;non
R0114;Agence Granit;agence;Avignon;oui;petit;dormant;2025-12-07;176;442;21;"clubs sportifs ; entreprises";oui;oui;non;non
R0115;Textiprint Ubac Grenoble;imprimeur;Grenoble;oui;moyen;actif;2026-05-25;7;771;119;"festivals ; brasseries et bars";oui;oui;non;non
R0116;Imprim'Granit Pau;sérigraphe;Pau;non;grand;actif;2026-05-30;2;2223;179;"clubs sportifs ; entreprises";oui;oui;non;oui
R0117;Studio Ocre Strasbourg;sérigraphe;Strasbourg;non;grand;dormant;2026-02-12;109;1815;145;"clubs sportifs ; entreprises";oui;oui;non;oui
R0118;Séri'Basalte Perpignan;sérigraphe;Perpignan;non;petit;dormant;2025-11-22;191;293;22;"brasseries et bars ; associations";oui;oui;non;non
R0119;Imprim'Loire;sérigraphe;Liège;non;petit;actif;2026-05-26;6;309;51;"collectivités ; entreprises";oui;non;non;non
R0120;Studio Nacre;sérigraphe;Lausanne;oui;moyen;actif;2026-05-31;1;859;90;"entreprises ; collectivités";oui;non;non;non
R0121;Maison Pastel;brodeur;Bayonne;non;grand;actif;2026-05-26;6;2320;215;"entreprises ; brasseries et bars";oui;oui;non;oui
R0122;Atelier Tandem;sérigraphe;Tours;non;moyen;actif;2026-05-27;5;548;87;"collectivités ; clubs sportifs";oui;oui;non;non
R0123;Brod'Calanque;brodeur;Le Mans;non;petit;actif;2026-05-27;5;294;50;"brasseries et bars ; entreprises";oui;oui;non;non
R0124;Les Fils d'Lumière;brodeur;Rouen;non;petit;dormant;2025-09-15;259;280;14;"associations ; brasseries et bars";oui;oui;non;non
R0125;Maison Granit;brodeur;Saint-Étienne;oui;petit;dormant;2025-08-16;289;309;16;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0126;Atelier Atlantique;sérigraphe;Grenoble;oui;moyen;actif;2026-05-28;4;696;80;"associations ; clubs sportifs";oui;oui;non;non
R0127;Studio du Lac;agence;Bruxelles;non;petit;actif;2026-05-24;8;315;40;"festivals ; clubs sportifs";oui;oui;non;non
R0128;Collectif Trait d'Union;agence;Valence;oui;petit;actif;2026-05-25;7;374;46;"brasseries et bars ; collectivités";oui;oui;non;non
R0129;Séri'Indigo Bayonne;sérigraphe;Bayonne;non;petit;actif;2026-05-13;19;324;49;"festivals ; clubs sportifs";oui;oui;non;non
R0130;Sérigraphie Ardoise;sérigraphe;Arras;non;moyen;dormant;2026-01-07;145;644;56;"clubs sportifs ; entreprises";oui;oui;non;non
R0131;Sérigraphie Sarment;sérigraphe;Pau;non;petit;actif;2026-05-24;8;425;33;"clubs sportifs ; entreprises";oui;oui;non;non
R0132;Collectif Mistral Bilbao;agence;Bilbao;non;moyen;actif;2026-05-31;1;483;109;"associations ; collectivités";oui;non;non;non
R0133;Impression Indigo;imprimeur;Lausanne;oui;petit;actif;2026-05-22;10;348;55;"brasseries et bars ; entreprises";oui;oui;non;non
R0134;Studio Alizé;agence;Caen;non;moyen;actif;2026-05-29;3;800;98;"collectivités ; entreprises";oui;non;non;non
R0135;Agence Vauban;agence;Bordeaux;non;petit;dormant;2026-01-12;140;200;28;"festivals ; brasseries et bars";oui;oui;non;non
R0136;Séri'Ardoise;sérigraphe;Bayonne;non;petit;actif;2026-05-22;10;196;33;"brasseries et bars ; clubs sportifs";non;oui;non;non
R0137;Imprim'Zénith;sérigraphe;Strasbourg;non;petit;actif;2026-05-29;3;316;41;"entreprises ; associations";oui;non;non;non
R0138;Atelier Ricochet;sérigraphe;Tours;non;petit;actif;2026-05-21;11;292;44;"entreprises ; associations";oui;non;non;non
R0139;Marquage Ricochet Bayonne;sérigraphe;Bayonne;non;moyen;actif;2026-05-13;19;455;80;"brasseries et bars ; associations";oui;oui;non;non
R0140;Maison Pixel Brest;brodeur;Brest;non;moyen;actif;2026-05-31;1;474;96;"clubs sportifs ; associations";oui;oui;non;non
R0141;Studio Zinc Amiens;sérigraphe;Amiens;non;petit;actif;2026-05-20;12;195;41;"festivals ; brasseries et bars";oui;oui;non;non
R0142;Studio Indigo Mulhouse;sérigraphe;Mulhouse;non;moyen;dormant;2026-03-04;89;953;54;"associations ; brasseries et bars";oui;oui;non;oui
R0143;Broderie Sarment;brodeur;Dijon;non;grand;actif;2026-05-31;1;1103;183;"associations ; clubs sportifs";oui;oui;non;oui
R0144;Brod'Garonne Dijon;brodeur;Dijon;non;moyen;dormant;2025-08-02;303;761;15;"festivals ; collectivités";oui;oui;non;non
R0145;Studio Ardoise;sérigraphe;Poitiers;non;petit;actif;2026-05-29;3;348;33;"festivals ; brasseries et bars";oui;oui;non;non
R0146;Marquage Hélice;sérigraphe;Niort;non;moyen;actif;2026-05-28;4;606;87;"collectivités ; brasseries et bars";oui;oui;non;non
R0147;Print Loire Milan;imprimeur;Milan;non;grand;dormant;2026-02-05;116;1580;146;"clubs sportifs ; collectivités";oui;oui;non;oui
R0148;Atelier Bleu Marine;brodeur;Poitiers;non;moyen;actif;2026-05-24;8;724;86;"entreprises ; clubs sportifs";oui;oui;non;non
R0149;Sérigraphie Garonne Barcelone;sérigraphe;Barcelone;non;moyen;dormant;2025-07-27;309;558;10;"festivals ; entreprises";oui;oui;oui;non
R0150;Brod'Lumière Chambéry;brodeur;Chambéry;oui;petit;dormant;2026-02-20;101;408;40;"brasseries et bars ; associations";oui;oui;non;non
R0151;Imprim'Bleu Marine Niort;sérigraphe;Niort;non;petit;actif;2026-05-31;1;406;58;"brasseries et bars ; associations";non;oui;non;non
R0152;Imprimerie Tramontane;imprimeur;Toulouse;non;petit;actif;2026-05-27;5;161;58;"entreprises ; associations";oui;non;non;non
R0153;Imprim'Mistral;sérigraphe;Limoges;non;moyen;dormant;2026-03-04;89;671;78;"entreprises ; collectivités";oui;non;non;non
R0154;Point Zénith;brodeur;Avignon;oui;petit;dormant;2026-01-28;124;351;33;"clubs sportifs ; associations";oui;oui;non;non
R0155;Studio Cap Ouest Besançon;sérigraphe;Besançon;non;moyen;dormant;2026-01-29;123;542;52;"entreprises ; festivals";oui;oui;non;non
R0156;Maison Kaolin;brodeur;Lausanne;oui;petit;actif;2026-05-31;1;380;53;"entreprises ; brasseries et bars";oui;oui;non;non
R0157;Broderie Grand Angle;brodeur;Bayonne;non;moyen;actif;2026-05-28;4;609;74;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0158;Print Hélice;imprimeur;Namur;non;moyen;dormant;2025-09-23;251;782;26;"brasseries et bars ; entreprises";oui;oui;non;non
R0159;Brod'Granit;brodeur;Nantes;non;petit;actif;2026-05-14;18;341;54;"associations ; festivals";oui;oui;non;non
R0160;Print Grand Angle;imprimeur;Lille;non;petit;actif;2026-05-28;4;403;55;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0161;Marquage Vertigo Valence;sérigraphe;Valence;oui;moyen;actif;2026-05-30;2;504;83;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0162;Studio Amarante Avignon;sérigraphe;Avignon;oui;petit;dormant;2025-07-16;320;166;5;"entreprises ; brasseries et bars";oui;oui;non;non
R0163;Séri'Pixel Bruxelles;sérigraphe;Bruxelles;non;moyen;actif;2026-05-22;10;421;76;"entreprises ; clubs sportifs";oui;oui;non;non
R0164;Marquage Pixel;sérigraphe;Bruxelles;non;petit;dormant;2026-03-10;83;351;44;"clubs sportifs ; festivals";oui;oui;non;non
R0165;Sérigraphie Garonne Milan;sérigraphe;Milan;non;grand;dormant;2026-02-02;119;2345;128;"entreprises ; festivals";oui;oui;non;oui
R0166;Studio Rhône;sérigraphe;Clermont-Ferrand;non;petit;actif;2026-05-24;8;259;52;"brasseries et bars ; festivals";oui;oui;non;non
R0167;Maison Perspective;brodeur;Nancy;non;petit;dormant;2025-11-07;206;187;25;"clubs sportifs ; associations";oui;oui;non;non
R0168;Atelier Pastel Metz;brodeur;Metz;non;petit;dormant;2026-02-02;119;290;26;"festivals ; clubs sportifs";oui;oui;non;non
R0169;Les Fils d'Granit Nantes;brodeur;Nantes;non;grand;dormant;2025-08-31;274;2316;47;"clubs sportifs ; associations";oui;oui;non;non
R0170;Maison Boréal;brodeur;Mulhouse;non;petit;dormant;2025-09-08;266;219;7;"collectivités ; brasseries et bars";oui;oui;non;non
R0171;Sérigraphie Indigo Reims;sérigraphe;Reims;non;moyen;actif;2026-05-28;4;499;63;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0172;Broderie Tandem Lausanne;brodeur;Lausanne;oui;grand;dormant;2025-10-14;230;1143;54;"clubs sportifs ; brasseries et bars";oui;oui;non;oui
R0173;Sérigraphie Perspective Luxembourg;sérigraphe;Luxembourg;non;petit;actif;2026-04-24;38;255;31;"clubs sportifs ; associations";oui;oui;non;non
R0174;Sérigraphie Quai;sérigraphe;Milan;non;moyen;actif;2026-05-27;5;757;70;"associations ; brasseries et bars";oui;oui;non;non
R0175;Atelier Rhône;brodeur;Luxembourg;non;petit;dormant;2026-02-17;104;156;26;"entreprises ; associations";oui;non;non;non
R0176;Collectif Deux Rives;agence;Barcelone;non;petit;actif;2026-05-04;28;350;34;"associations ; festivals";oui;oui;oui;non
R0177;Atelier Loire;brodeur;Marseille;oui;petit;dormant;2026-03-09;84;414;27;"entreprises ; brasseries et bars";non;oui;non;non
R0178;Séri'Loire;sérigraphe;Quimper;non;petit;dormant;2025-10-25;219;222;17;"entreprises ; collectivités";oui;non;non;non
R0179;Collectif Mistral Lyon;agence;Lyon;oui;petit;dormant;2025-08-13;292;358;9;"clubs sportifs ; collectivités";oui;oui;non;non
R0180;Studio Vermeil;agence;Genève;oui;petit;actif;2026-05-24;8;204;38;"associations ; brasseries et bars";oui;oui;non;non
R0181;Marquage Zinc;sérigraphe;Le Mans;non;petit;actif;2026-05-06;26;150;48;"entreprises ; collectivités";oui;non;non;non
R0182;Brod'Garonne;brodeur;Liège;non;moyen;actif;2026-05-24;8;466;89;"brasseries et bars ; festivals";oui;oui;non;non
R0183;Agence Nord Besançon;agence;Besançon;non;grand;actif;2026-05-31;1;1665;223;"brasseries et bars ; clubs sportifs";oui;oui;non;oui
R0184;Imprim'Boréal;sérigraphe;Metz;non;grand;actif;2026-05-31;1;951;201;"festivals ; associations";oui;oui;non;oui
R0185;Séri'Indigo;sérigraphe;Brest;non;petit;actif;2026-05-22;10;385;54;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0186;Marquage Éclat Caen;sérigraphe;Caen;non;petit;actif;2026-05-30;2;380;47;"festivals ; clubs sportifs";oui;oui;non;non
R0187;Collectif Ardoise;agence;Niort;non;grand;actif;2026-05-27;5;2184;195;"brasseries et bars ; entreprises";oui;oui;non;oui
R0188;Atelier Zénith Toulouse;sérigraphe;Toulouse;non;petit;actif;2026-05-30;2;364;55;"associations ; brasseries et bars";oui;oui;non;non
R0189;Point Quai Bayonne;brodeur;Bayonne;non;petit;dormant;2025-11-25;188;270;28;"associations ; entreprises";oui;non;non;non
R0190;Sérigraphie Alizé;sérigraphe;Toulouse;non;petit;actif;2026-05-30;2;184;53;"clubs sportifs ; associations";oui;oui;non;non
R0191;Sérigraphie Sarment Brest;sérigraphe;Brest;non;petit;dormant;2026-03-02;91;341;30;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0192;Studio Garonne;agence;Luxembourg;non;moyen;actif;2026-05-30;2;918;79;"clubs sportifs ; festivals";oui;oui;non;non
