id;nom;metier;ville;sud_est;taille;groupe;derniere_commande;jours_depuis_derniere_commande;panier_moyen_eur;commandes_12_mois;clients_finaux
R0773;Studio des Volcans Caen;agence;Caen;non;grand;dormant;2025-11-07;206;1020;112;"festivals ; clubs sportifs"
R0776;Point Tandem Bilbao;brodeur;Bilbao;non;grand;actif;2026-05-31;1;1637;196;"collectivités ; festivals"
R0780;Les Fils d'Loire;brodeur;Bordeaux;non;grand;actif;2026-05-28;4;1352;181;"entreprises ; clubs sportifs"
R0782;Agence Tramontane Nantes;agence;Nantes;non;grand;actif;2026-05-27;5;1845;169;"festivals ; clubs sportifs"
R0797;Imprim'Ypréau;sérigraphe;Poitiers;non;grand;dormant;2025-12-21;162;1123;79;"festivals ; clubs sportifs"
R0830;Imprim'Pixel Tours;sérigraphe;Tours;non;grand;actif;2026-05-31;1;1104;226;"brasseries et bars ; collectivités"
R0847;Studio Sarment Liège;agence;Liège;non;grand;dormant;2025-12-20;163;2207;111;"clubs sportifs ; festivals"
R0861;Maison Ricochet;brodeur;Avignon;oui;grand;actif;2026-05-31;1;1984;126;"brasseries et bars ; collectivités"
R0876;Point Ypréau;brodeur;Albi;non;grand;dormant;2025-10-17;227;2097;80;"clubs sportifs ; brasseries et bars"
R0890;Atelier Faubourg Bordeaux;sérigraphe;Bordeaux;non;grand;actif;2026-05-30;2;2087;249;"entreprises ; brasseries et bars"
R0905;Studio Amarante Reims;agence;Reims;non;grand;actif;2026-05-26;6;1484;125;"associations ; festivals"
R0915;Collectif Pixel;agence;Strasbourg;non;grand;actif;2026-05-31;1;1518;176;"brasseries et bars ; entreprises"
R0921;Studio Grand Angle Mulhouse;sérigraphe;Mulhouse;non;grand;dormant;2026-02-07;114;1766;141;"clubs sportifs ; associations"
R0935;Agence Jonquille;agence;Angers;non;grand;dormant;2026-01-11;141;1484;100;"clubs sportifs ; brasseries et bars"
R0939;Imprimerie Nacre Chambéry;imprimeur;Chambéry;oui;grand;dormant;2025-12-07;176;1935;132;"entreprises ; festivals"
R0959;Agence Alizé Strasbourg;agence;Strasbourg;non;grand;actif;2026-05-31;1;1452;164;"brasseries et bars ; entreprises"
R0985;Atelier Granit Milan;agence;Milan;non;grand;actif;2026-05-22;10;1755;174;"brasseries et bars ; clubs sportifs"
R1006;Print Vermeil Lyon;imprimeur;Lyon;oui;grand;dormant;2026-03-07;86;1935;175;"brasseries et bars ; festivals"
R1013;Séri'Lumière Angers;sérigraphe;Angers;non;grand;dormant;2026-03-20;73;1624;154;"brasseries et bars ; festivals"
R1044;Studio Vermeil Limoges;agence;Limoges;non;grand;actif;2026-05-30;2;1383;225;"brasseries et bars ; clubs sportifs"
R1049;Sérigraphie Cyan Nîmes;sérigraphe;Nîmes;oui;grand;actif;2026-05-29;3;960;138;"associations ; festivals"
R1052;Agence Cyan Barcelone;agence;Barcelone;non;grand;dormant;2025-11-15;198;2280;69;"brasseries et bars ; associations"
R1067;Marquage Ardoise Orléans;sérigraphe;Orléans;non;grand;actif;2026-05-30;2;1596;225;"brasseries et bars ; festivals"
R1069;Sérigraphie Ocre;sérigraphe;Turin;oui;grand;actif;2026-05-31;1;1640;180;"associations ; brasseries et bars"
R1081;Imprimerie Lumière Niort;imprimeur;Niort;non;grand;dormant;2026-01-06;146;2208;166;"clubs sportifs ; brasseries et bars"
R1082;Atelier Ricochet Nîmes;agence;Nîmes;oui;grand;actif;2026-05-28;4;2128;158;"festivals ; brasseries et bars"
R1097;Sérigraphie Sud;sérigraphe;Clermont-Ferrand;non;grand;actif;2026-05-30;2;1836;233;"festivals ; collectivités"
R1099;Studio Solstice Saint-Étienne;agence;Saint-Étienne;oui;grand;dormant;2026-02-02;119;2096;93;"associations ; clubs sportifs"
R1109;Collectif Horizon Clermont-Ferrand;agence;Clermont-Ferrand;non;grand;actif;2026-05-31;1;1934;226;"festivals ; collectivités"
R1111;Textiprint Vermeil Rennes;imprimeur;Rennes;non;grand;dormant;2026-01-30;122;2293;131;"brasseries et bars ; clubs sportifs"
R1122;Agence Basalte Barcelone;agence;Barcelone;non;grand;actif;2026-05-31;1;1973;156;"festivals ; brasseries et bars"
R1133;Marquage Faubourg Béziers;sérigraphe;Béziers;non;grand;dormant;2026-02-19;102;1862;137;"festivals ; entreprises"
R1136;Point des Volcans Niort;brodeur;Niort;non;grand;dormant;2025-12-19;164;1875;96;"brasseries et bars ; associations"
R1170;Marquage Nord Milan;sérigraphe;Milan;non;grand;dormant;2025-12-17;166;1721;96;"clubs sportifs ; collectivités"
R1175;Marquage Cap Ouest Lausanne;sérigraphe;Lausanne;oui;grand;dormant;2025-10-20;224;2252;88;"brasseries et bars ; festivals"
R1202;Maison Sud Angers;brodeur;Angers;non;grand;actif;2026-05-30;2;1392;153;"brasseries et bars ; festivals"
R1203;Séri'Cyan Valence;sérigraphe;Valence;oui;grand;actif;2026-05-31;1;1574;192;"associations ; brasseries et bars"
R1230;Collectif Amarante Toulouse;agence;Toulouse;non;grand;dormant;2025-12-11;172;1900;128;"brasseries et bars ; entreprises"
R1239;Broderie Atlantique Dijon;brodeur;Dijon;non;grand;actif;2026-05-31;1;1096;230;"entreprises ; clubs sportifs"
R1249;Imprim'Zénith Nantes;sérigraphe;Nantes;non;grand;actif;2026-05-29;3;1213;222;"entreprises ; festivals"
R1267;Agence Loire Lyon;agence;Lyon;oui;grand;actif;2026-05-30;2;1795;145;"collectivités ; brasseries et bars"
R1288;Impression Kaolin;imprimeur;Béziers;non;grand;actif;2026-05-28;4;1328;223;"festivals ; clubs sportifs"
R1290;Atelier Éclat Montpellier;brodeur;Montpellier;oui;grand;actif;2026-05-31;1;1347;150;"associations ; festivals"
R1292;Imprim'Trait d'Union Caen;sérigraphe;Caen;non;grand;dormant;2026-03-05;88;1112;104;"brasseries et bars ; clubs sportifs"
R1293;Collectif Nord;agence;Lausanne;oui;grand;actif;2026-05-30;2;1710;150;"entreprises ; festivals"
R1294;Séri'Tandem Caen;sérigraphe;Caen;non;grand;actif;2026-05-31;1;2279;222;"brasseries et bars ; collectivités"
R1315;Maison Origami Limoges;brodeur;Limoges;non;grand;actif;2026-05-30;2;2074;153;"collectivités ; clubs sportifs"
R1329;Atelier Ocre Le Mans;sérigraphe;Le Mans;non;grand;actif;2026-05-31;1;1654;189;"clubs sportifs ; festivals"
R1352;Marquage Nacre Reims;sérigraphe;Reims;non;grand;actif;2026-05-27;5;1484;233;"festivals ; associations"
R1392;Atelier Hélice Genève;sérigraphe;Genève;oui;grand;actif;2026-05-31;1;2179;159;"clubs sportifs ; brasseries et bars"
R1405;Studio Basalte Turin;sérigraphe;Turin;oui;grand;dormant;2025-10-15;229;1619;56;"collectivités ; brasseries et bars"
R1416;Sérigraphie Vauban;sérigraphe;Toulouse;non;grand;actif;2026-05-29;3;1785;165;"entreprises ; festivals"
R1425;Atelier Zénith Bilbao;sérigraphe;Bilbao;non;moyen;actif;2026-05-31;1;981;96;"entreprises ; festivals"
R1428;Collectif Boréal Namur;agence;Namur;non;grand;dormant;2025-12-20;163;1905;133;"associations ; brasseries et bars"
R1434;Les Fils d'Bleu Marine;brodeur;Lausanne;oui;grand;actif;2026-05-30;2;1955;146;"clubs sportifs ; collectivités"
R1489;Imprim'Rhône Dijon;sérigraphe;Dijon;non;grand;dormant;2026-02-20;101;1307;107;"clubs sportifs ; collectivités"
R1508;Sérigraphie Hélice Orléans;sérigraphe;Orléans;non;grand;dormant;2026-03-02;91;1502;95;"clubs sportifs ; brasseries et bars"
R1515;Atelier Cardinal Clermont-Ferrand;sérigraphe;Clermont-Ferrand;non;grand;actif;2026-05-30;2;2063;236;"brasseries et bars ; collectivités"
R1521;Imprimerie Vertigo;imprimeur;Namur;non;grand;actif;2026-05-31;1;1384;198;"collectivités ; brasseries et bars"
R1533;Imprimerie Perspective Reims;imprimeur;Reims;non;grand;actif;2026-05-28;4;1309;171;"entreprises ; clubs sportifs"
R1543;Imprim'des Volcans Marseille;sérigraphe;Marseille;oui;grand;dormant;2026-02-16;105;1313;144;"clubs sportifs ; festivals"
R1556;Collectif Ocre Saint-Étienne;agence;Saint-Étienne;oui;grand;actif;2026-05-27;5;2318;183;"festivals ; collectivités"
R1585;Broderie Bleu Marine Strasbourg;brodeur;Strasbourg;non;grand;dormant;2026-02-12;109;2131;146;"clubs sportifs ; brasseries et bars"
R1590;Print Vauban Luxembourg;imprimeur;Luxembourg;non;grand;actif;2026-05-30;2;1885;216;"clubs sportifs ; associations"
R1594;Agence Calanque;agence;Marseille;oui;grand;dormant;2025-11-28;185;995;64;"associations ; clubs sportifs"
R1595;Séri'Quai Avignon;sérigraphe;Avignon;oui;grand;actif;2026-05-31;1;1607;221;"brasseries et bars ; collectivités"
R1598;Studio Horizon Arras;agence;Arras;non;grand;dormant;2026-02-20;101;1489;112;"clubs sportifs ; collectivités"
R1601;Atelier du Lac Arras;sérigraphe;Arras;non;grand;actif;2026-05-31;1;1354;225;"clubs sportifs ; festivals"
R1618;Atelier du Lac Avignon;brodeur;Avignon;oui;grand;dormant;2026-03-27;66;1474;146;"collectivités ; clubs sportifs"
R1627;Les Fils d'Sud Lille;brodeur;Lille;non;grand;actif;2026-05-26;6;2206;123;"brasseries et bars ; collectivités"
R1643;Séri'Basalte Metz;sérigraphe;Metz;non;grand;actif;2026-05-29;3;1825;161;"festivals ; associations"
R1654;Agence des Volcans Brest;agence;Brest;non;grand;actif;2026-05-29;3;1078;199;"brasseries et bars ; festivals"
R1659;Broderie Origami;brodeur;Rennes;non;grand;actif;2026-05-30;2;1676;130;"clubs sportifs ; entreprises"
R1704;Atelier Atlantique Bayonne;brodeur;Bayonne;non;grand;actif;2026-05-31;1;1090;211;"festivals ; brasseries et bars"
R1715;Séri'Cyan Vannes;sérigraphe;Vannes;non;grand;actif;2026-05-26;6;1259;203;"brasseries et bars ; festivals"
R1719;Print Mistral La Rochelle;imprimeur;La Rochelle;non;grand;actif;2026-05-30;2;1462;235;"entreprises ; brasseries et bars"
R1749;Atelier Sud Rennes;sérigraphe;Rennes;non;grand;actif;2026-05-31;1;2067;236;"festivals ; associations"
R1753;Atelier Loire Chambéry;brodeur;Chambéry;oui;grand;actif;2026-05-31;1;1206;187;"brasseries et bars ; collectivités"
R1777;Textiprint Nord;imprimeur;Annecy;oui;grand;actif;2026-05-29;3;2182;209;"brasseries et bars ; entreprises"
R1806;Atelier Jonquille Mulhouse;agence;Mulhouse;non;grand;actif;2026-05-29;3;2111;142;"brasseries et bars ; entreprises"
R1808;Atelier Faubourg Pau;brodeur;Pau;non;grand;actif;2026-05-29;3;1132;202;"clubs sportifs ; entreprises"
R1813;Point Tramontane Dijon;brodeur;Dijon;non;grand;actif;2026-05-29;3;2218;230;"associations ; festivals"
R1849;Impression Pixel;imprimeur;Avignon;oui;grand;actif;2026-05-31;1;952;190;"brasseries et bars ; festivals"
R1901;Atelier Ocre Genève;agence;Genève;oui;grand;actif;2026-05-29;3;1064;219;"festivals ; brasseries et bars"
R1931;Maison Vauban La Rochelle;brodeur;La Rochelle;non;grand;dormant;2026-03-18;75;1297;147;"collectivités ; festivals"
R1972;Atelier Pixel Le Mans;agence;Le Mans;non;grand;actif;2026-05-28;4;1527;199;"entreprises ; brasseries et bars"
R1984;Sérigraphie Vermeil Valence;sérigraphe;Valence;oui;grand;actif;2026-05-31;1;1452;201;"festivals ; brasseries et bars"
R2001;Agence Estuaire;agence;Saint-Étienne;oui;grand;dormant;2025-12-09;174;1358;74;"festivals ; brasseries et bars"
R2021;Marquage Pixel Tours;sérigraphe;Tours;non;grand;dormant;2025-12-07;176;1205;110;"brasseries et bars ; festivals"
R2036;Sérigraphie Trait d'Union Angers;sérigraphe;Angers;non;grand;actif;2026-05-31;1;1483;230;"brasseries et bars ; festivals"
R2037;Studio des Volcans Turin;sérigraphe;Turin;oui;grand;actif;2026-05-30;2;1254;206;"entreprises ; clubs sportifs"
R2051;Studio Sarment Montpellier;agence;Montpellier;oui;grand;actif;2026-05-31;1;2026;185;"clubs sportifs ; festivals"
R2066;Marquage Cap Ouest Nancy;sérigraphe;Nancy;non;grand;actif;2026-05-30;2;2169;214;"associations ; festivals"
R2087;Séri'Kaolin Genève;sérigraphe;Genève;oui;grand;dormant;2026-03-02;91;1582;118;"festivals ; entreprises"
R2090;Les Fils d'Nacre Strasbourg;brodeur;Strasbourg;non;grand;actif;2026-05-30;2;1368;122;"clubs sportifs ; entreprises"
R2106;Agence Horizon Nîmes;agence;Nîmes;oui;grand;actif;2026-05-24;8;1353;179;"clubs sportifs ; collectivités"
R2122;Sérigraphie Boréal Caen;sérigraphe;Caen;non;grand;actif;2026-05-30;2;2156;167;"clubs sportifs ; associations"
R2127;Maison Cardinal Tours;brodeur;Tours;non;grand;actif;2026-05-29;3;1320;121;"associations ; clubs sportifs"
R2141;Studio Nord La Rochelle;agence;La Rochelle;non;grand;dormant;2026-01-24;128;966;116;"associations ; festivals"
R2146;Collectif Solstice Poitiers;agence;Poitiers;non;grand;actif;2026-05-27;5;1205;244;"brasseries et bars ; festivals"
R2164;Les Fils d'Hélice Lille;brodeur;Lille;non;grand;dormant;2025-12-22;161;1460;77;"collectivités ; brasseries et bars"
R2165;Séri'Origami Strasbourg;sérigraphe;Strasbourg;non;grand;actif;2026-05-30;2;1051;191;"collectivités ; festivals"
R2172;Marquage Zénith Namur;sérigraphe;Namur;non;grand;actif;2026-05-30;2;1615;178;"entreprises ; brasseries et bars"
R2173;Impression Perspective Pau;imprimeur;Pau;non;grand;dormant;2025-11-22;191;1068;56;"festivals ; associations"
R2187;Impression Pastel;imprimeur;Grenoble;oui;grand;dormant;2025-11-03;210;1407;70;"collectivités ; brasseries et bars"
R2193;Imprim'Trait d'Union Dijon;sérigraphe;Dijon;non;grand;dormant;2026-02-08;113;1365;157;"festivals ; associations"
R2208;Atelier Zinc Nancy;sérigraphe;Nancy;non;moyen;dormant;2025-11-09;204;987;43;"festivals ; collectivités"
R2213;Point Kaolin Lille;brodeur;Lille;non;grand;dormant;2025-11-10;203;1015;67;"collectivités ; clubs sportifs"
R2237;Atelier Zinc Quimper;sérigraphe;Quimper;non;grand;actif;2026-05-29;3;984;236;"clubs sportifs ; brasseries et bars"
R2281;Marquage Jonquille Luxembourg;sérigraphe;Luxembourg;non;grand;dormant;2026-02-03;118;1016;168;"clubs sportifs ; brasseries et bars"
R2290;Studio Tandem Tours;sérigraphe;Tours;non;grand;actif;2026-05-28;4;1706;212;"entreprises ; clubs sportifs"
R2321;Agence Faubourg Barcelone;agence;Barcelone;non;grand;dormant;2025-10-21;223;1930;106;"brasseries et bars ; clubs sportifs"
R2323;Agence Ardoise Nantes;agence;Nantes;non;grand;actif;2026-05-29;3;1805;127;"entreprises ; festivals"
R2326;Collectif Quai Montpellier;agence;Montpellier;oui;grand;dormant;2026-03-27;66;1089;205;"associations ; festivals"
R2332;Séri'Rhône Marseille;sérigraphe;Marseille;oui;grand;dormant;2026-02-03;118;1018;93;"associations ; clubs sportifs"
R2349;Atelier Calanque Poitiers;agence;Poitiers;non;grand;actif;2026-05-31;1;2269;234;"collectivités ; brasseries et bars"
R2392;Maison Solstice Dijon;brodeur;Dijon;non;grand;actif;2026-05-31;1;1932;239;"festivals ; associations"
